,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steuerjahr,Zivilstand,Abzug Alleinstehend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH,AS,,VH
Einkommens-Klasse,Values,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein
0,Summe von Anzahl,"18,214","79,007","15,337","17,154","78,877","15,672","16,884","79,618","16,085","15,880","79,516","16,070","16,153","81,956","16,596","16,430","82,412","16,750","16,498","82,856","16,706","16,180","83,501","16,678","16,473","83,389","16,819","18,885","80,416","16,450","18,726","80,165","16,087","18,770","80,030","15,789","18,783","79,472","15,225"
,Summe von Einfache Steuer Einkommen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,Summe von Anzahl,"38,886","52,602","29,243","39,289","54,249","28,356","37,048","54,429","26,478","35,034","55,384","25,360","34,401","55,638","27,022","34,348","56,760","26,735","34,160","58,298","27,187","33,616","59,739","27,536","33,498","60,592","27,797","35,253","57,244","26,621","35,320","58,557","27,170","35,406","58,936","26,314","35,486","59,413","26,268"
,Summe von Einfache Steuer Einkommen,"14,643,907","15,396,703","7,788,340","14,715,553","15,850,601","7,471,943","13,935,610","15,789,693","6,929,582","13,199,991","15,960,604","6,558,300","12,928,562","15,952,132","6,811,394","12,827,383","16,326,625","6,741,476","12,599,562","16,686,766","6,840,268","12,243,949","16,981,305","6,871,133","12,100,308","17,149,742","6,893,847","12,706,981","16,018,509","6,615,180","12,664,221","16,437,678","6,790,538","12,570,711","16,501,981","6,595,779","12,611,413","16,602,815","6,622,141"
40000,Summe von Anzahl,"61,464","49,362","47,797","60,571","50,952","46,417","59,833","51,890","44,383","58,048","53,855","42,442","56,633","55,223","43,087","56,153","56,456","42,113","55,496","57,321","41,662","53,928","59,234","40,969","53,443","60,511","40,613","57,088","56,129","39,029","57,007","57,429","38,303","56,108","57,354","37,889","56,262","58,055","37,055"
,Summe von Einfache Steuer Einkommen,"68,400,992","55,608,538","46,085,519","67,520,304","57,610,188","44,734,141","66,899,931","58,968,871","43,047,533","65,144,334","61,480,266","41,273,341","62,972,277","62,545,938","41,142,413","62,559,223","64,038,834","40,241,560","61,535,443","64,809,211","39,514,912","58,904,539","65,892,922","37,945,467","58,319,624","67,392,804","37,611,768","62,813,406","62,595,297","36,219,661","62,774,509","64,154,639","35,644,158","61,946,660","64,217,830","35,326,973","62,116,850","64,974,840","34,540,657"
60000,Summe von Anzahl,"33,607","23,388","52,687","34,137","25,453","52,259","35,678","27,636","51,389","36,397","30,629","50,869","36,243","32,212","49,579","36,088","33,456","49,113","36,124","35,177","48,512","36,461","37,287","48,139","37,151","38,701","47,670","41,844","38,344","47,009","42,229","39,777","47,089","42,536","41,864","46,403","42,824","42,767","46,251"
